FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE
Success,N264220004016177,a0j8p000001y3x6,Paid,2022-09-23T11:32:44Z
Success,N264220004016043,a0j8p000001zixe,Paid,2022-09-23T11:32:44Z
Success,N264220004015871,a0j8p000001yDNd,Paid,2022-09-23T11:32:44Z
Success,N264220004015816,a0j8p000001zbqQ,Paid,2022-09-23T11:32:44Z
Success,N264220004016187,a0j8p000001zjY5,Paid,2022-09-23T11:32:44Z
Success,N264220004015921,a0j8p000001zVCm,Paid,2022-09-23T11:32:44Z
Success,N264220004016254,a0j8p000001zc3o,Paid,2022-09-23T11:32:44Z
Success,N264220004015748,a0j8p000001zkz9,Paid,2022-09-23T11:32:44Z
Success,N264220004016089,a0j8p000001zkpJ,Paid,2022-09-23T11:32:44Z
Success,N264220004016253,a0j8p000001zuaN,Paid,2022-09-23T11:32:44Z
Success,N264220004015739,a0j8p000001zj4w,Paid,2022-09-23T11:32:44Z
Success,N264220004015966,a0j8p000001zUkz,Paid,2022-09-23T11:32:44Z
Success,N264220004015799,a0j8p000001xv5C,Paid,2022-09-23T11:32:44Z
Success,N264220004015770,a0j8p000001zrHG,Paid,2022-09-23T11:32:44Z
Success,N264220004016208,a0j8p000001zZ69,Paid,2022-09-23T11:32:44Z
Success,N264220004016179,a0j8p000001xvCx,Paid,2022-09-23T11:32:44Z
Success,N264220004015846,a0j8p00000203SH,Paid,2022-09-23T11:32:44Z
Success,N264220004015765,a0j8p000001zovS,Paid,2022-09-23T11:32:44Z
Success,N264220004015958,a0j8p000001zjtR,Paid,2022-09-23T11:32:44Z
Rejected,N264220004015897,a0j8p00000201SS,Account Does Not Exist,2022-09-23T11:32:44Z
Success,N264220004016189,a0j8p000001zSxq,Paid,2022-09-23T11:32:44Z
Success,N264220004015894,a0j8p000001zVsy,Paid,2022-09-23T11:32:44Z
Success,N264220004016235,a0j8p000001zzFF,Paid,2022-09-23T11:32:44Z
Success,N264220004015898,a0j8p00000200c3,Paid,2022-09-23T11:32:44Z
Success,N264220004015875,a0j8p000001yHkC,Paid,2022-09-23T11:32:44Z
Success,N264220004016099,a0j8p000001zVJT,Paid,2022-09-23T11:32:44Z
Success,N264220004015967,a0j8p000001zz40,Paid,2022-09-23T11:32:44Z
Success,N264220004015895,a0j8p000001zV16,Paid,2022-09-23T11:32:44Z
Success,N264220004015954,a0j8p000001x00s,Paid,2022-09-23T11:32:44Z
Success,N264220004015852,a0j8p000001yici,Paid,2022-09-23T11:32:44Z
Success,N264220004016295,a0j8p000001zsNd,Paid,2022-09-23T11:32:44Z
